text	hd	cv	vo
Absolutely agree with everything...except perhaps compensating them. Muslims are raised to have strong hatred for non-Muslims and seek to subjugate them and force them to live as persecuted second class citizens - people as poisonous as this do not deserve the slightest bit of recompense or civility. Burma has the right idea.	1	0	0
Dear god I hope Trump runs in 2020, there is nothing else that can give me more Schadenfreude than seeing the left utterly lose it.	1	0	0
There are two types of socialists: the evil socialist, and the stupid socialist. Evil socialists are despots who seek control.  Stupid socialists think socialism works and is good.	1	0	0
Man sometimes ppl up in here are too much and embarrassing tone it down just a tad lol. Sperging out like Stormfags IGNORE STORMFAGS.	0	0	0
In our lingo Whoopi literally means Shit and where this bitch is concerned it,s 100% correct 	0	0	0
Just rolled up to Dairy Queen and ordered the Bomb Cyclone.   The Blizzard can suck it.	0	0	0
We wouldn't want any Ruskies sneaking into vulnerable voting booths and subverting our democracy now, would we?	0	0	0
Winston Churchill, who knew his people only too well got it right about treason. 	0	0	0
Well-monied, elaborate doxing.	0	0	0
Spread the word everywhere, #Alabama voting for Roy Moore this upcoming Tuesday would send a strong message--Though we love #POTUS #Trump, we despise #DitchMitch McConnell even more	0	0	0
SHOW ME THE EVIDENCE! YOU POSTED THIS NOT ME. 	0	0	0
It’s probably deliberate - testing the reaction of the populace through social media and telecom data.	0	0	0
https://t.co/d1HfiTpxNs  	0	0	0
Blazing Asteroid Hits Earth-Sonic Fireball Explosion over Asia. Violent Volcanic Eruption Buries Town: https://youtu.be/gNAr8C-1A_k via @YouTube 	0	0	0
https://youtu.be/EP5ghshbXjs  Paul J Watson str8 calls out crybaby Kendrick Lamar for the hypocrisy that they constantly swim in.	0	0	0
Illegal immigration has soared back to pre-Trump levels because NOTHING is being done about it. They're not afraid. 	0	1	1
dont worry, zuckerborg will get it shut down to secure our privacy!	0	0	0
NO EU/UN UNITE AMERICA WE DON'T WANT FOREIGN COMMUNISTS 	0	0	0
Im trying to become Vic Uni Liberal Club president So theyre trying 2 boot me out of Uni Coz Im a 'Nazis' again   What If i was a Nazi, not as if thats a bad thing, but Im not! Im a card carrying Liberal! Not the lil l loser troll kind The Big Blue L www.facebook.com/VULiberals/posts/1239058659507892	0	0	0
Crazy that he's even allowed to run after that. Rather glad that odds are against him.	0	0	0
Appeasement has no upside . Pure as driven snow FaceBook  XXXXXXXXXXXXXXXXXX The United Nations has warned Facebook that it risks being dragged into international war crimes trials for its role in future human rights violations, as it called on the social network to address hate speech more quickly. Zeid Ra'ad Al-Hussein, the UN’s human rights chief, said the company risked becoming an acc...	0	0	0
Appreciation? Patriotism? Ain't nobody got time for dat!	0	0	0
Never mind terrorism, acid attacks, stabbings and so on and so forth. Some #Marxist #Feminist saw a tweet and poor little duddums had hurt feelings. That is where vanishingly scarce police resources must go:    https://www.youtube.com/watch?v=WJzDmZDfQI8	1	0	0
I think I have to sue Facebook I want to change my gender to Orange because I feel orange and identifie as orange and it would not allow me.	0	0	0
The third photo is the see more I forgot to screenshot if you are interested in what I posted about the research I found. Just want everything out there so it can't be said I withheld information. Pics of the screenshots in the thread and a post with the full links I used to follow.	0	0	0
I've now been banned from commenting on ABCnews.com and The Hill. 	0	0	0
Well give him his wish but it'll be hard due to being on suicide watch	0	0	0
It doesn't matter whether I agree if he 'should' be fired. What matters is what his employer thinks. I couldn't care less either way. Probably his students find that argument interesting and convincing, frankly. The universities are hotbeds of dumb leftism, after all.	1	0	0
ain't gonna age well....   oh dear.....oh dear lord....lol.....	0	0	0
